,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2000,4183424,https://www.airbnb.com/rooms/4183424,20250617032754,2025-06-17,city scrape,Charming West Village 1 bdrm,"Beautiful 1 bedroom apartment in the West Village, voted by National Geographic as one of the most idyllic streets in NY. Fully furnished with lots of natural light, 4th floor views and an elevator. Located next to famous landmarks, including the ‘Friends’ building and Grove Court. Two minute walk to incredible restaurants and grocery stores, five minutes to the water front, Washington Square Park and the 1, 2, 3, A, B, C, D, E, F, M trains for quick access to the rest of the city. Come stay!","This is one of the most coveted streets to live on in Manhattan and a quiet little village feel to escape from the busyness of the city. An easy and central location to access many different places and sites in NYC by foot, bike, train or car.",https://a0.muscache.com/pictures/61200421/b31e4977_original.jpg,9405848,https://www.airbnb.com/users/show/9405848,Susie,2013-10-13,"New York, NY","I moved from San Diego 2.5 years ago and am madly in love with this city. I work for GlaxoSmithKline  - a global healthcare company dedicated to improving the quality of life for others. I love traveling, music, nature and meeting good people. 

Dream. Explore. Discover. Be Kind.",within a few hours,90%,21%,f,https://a0.muscache.com/im/users/9405848/profile_pic/1411527051/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9405848/profile_pic/1411527051/original.jpg?aki_policy=profile_x_medium,West Village,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,West Village,Manhattan,40.73168,-74.00425,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Cooking basics"", ""TV with standard cable"", ""Stove"", ""Dishes and silverware"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Smoke alarm"", ""Elevator"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Free street parking"", ""Lockbox""]",$227.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,12,25,55,145,2025-06-17,28,1,0,145,2,60,13620.0,2016-11-01,2024-08-20,4.64,4.79,4.32,4.81,4.86,4.96,4.63,,f,1,1,0,0,0.27
2200,4308991,https://www.airbnb.com/rooms/4308991,20250617032754,2025-06-18,previous scrape,Sunny Room with Private Bathroom in Great Location,Very Spacious Room with big windows and private bathroom. <br /><br />Room has very nice queen bed and desk.<br /><br />Bose speakers also in room that you are welcome to use.,"In wonderful area of East Village that is close to tons of restaurants and bars, SOHO shopping area and Union Square.",https://a0.muscache.com/pictures/cdce8c42-6067-401b-9a9b-df5d312266f7.jpg,6195809,https://www.airbnb.com/users/show/6195809,Dean,2013-05-02,"New York, NY",,,,,f,https://a0.muscache.com/im/users/6195809/profile_pic/1427602612/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6195809/profile_pic/1427602612/original.jpg?aki_policy=profile_x_medium,East Village,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,East Village,Manhattan,40.7248,-73.98951,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Carbon monoxide alarm"", ""Washer"", ""Kitchen"", ""Smoke alarm"", ""TV"", ""Wifi"", ""Shampoo"", ""Air conditioning"", ""Heating""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-18,9,0,0,0,0,0,,2015-09-12,2020-01-03,4.89,5.0,4.33,4.89,5.0,5.0,4.89,,f,1,0,1,0,0.08
2400,4709252,https://www.airbnb.com/rooms/4709252,20250617032754,2025-06-18,previous scrape,ROOM AVAILABLE IN PERFECT FLAT,"Room available in my flat for AUG 2016. Lots of space, huge bathroom, big kitchen, next to #6 train (15 mins to Grand Central), laundry next door, steps from Central Park. Fully furnished.",,https://a0.muscache.com/pictures/59129885/2fe0d254_original.jpg,1511206,https://www.airbnb.com/users/show/1511206,Mauricio,2011-12-16,,,,,,f,https://a0.muscache.com/im/users/1511206/profile_pic/1417392999/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1511206/profile_pic/1417392999/original.jpg?aki_policy=profile_x_medium,East Harlem,1.0,1.0,"['email', 'phone']",t,t,,East Harlem,Manhattan,40.79912,-73.94187,Private room in rental unit,Private room,2,,1 bath,1.0,,"[""Carbon monoxide alarm"", ""Essentials"", ""Kitchen"", ""First aid kit"", ""Smoke alarm"", ""Free parking on premises"", ""Wifi"", ""Shampoo"", ""Air conditioning"", ""Heating""]",,30,31,30,30,31,31,30.0,31.0,,,0,0,0,0,2025-06-18,1,0,0,0,0,0,,2015-09-30,2015-09-30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,0,1,0,0.01
2600,5291956,https://www.airbnb.com/rooms/5291956,20250617032754,2025-06-18,previous scrape,Bright Studio with Peaceful Private Terrace,"This private studio apartment with a private terrace is in our little house on a typical Brooklyn street. The studio is very quiet, overlooking our backyard but in the center of a lively and pedestrian-friendly Brooklyn neighborhood and 20 minutes by subway to downtown Manhattan.","South Slope is an up and coming artsy Brooklyn hipster neighborhood. It's bicycle friendly with cool galleries, local shopping from thrift to one-of-a-kind local designers, active nightlife including live music venues, and excellent restaurants of all ethnic backgrounds. Prospect Park is a 10 min walk away. Supermarkets are open 7 days a week and are a 5-minute walk. You really don't ever have to go to Manhattan! But you can walk 5 minutes to the R train and be in the Wall St area in 15 minutes.",https://a0.muscache.com/pictures/miso/Hosting-5291956/original/e2bb43ee-40cc-46c8-be95-745c2eddf4ff.jpeg,240048,https://www.airbnb.com/users/show/240048,Katherine,2010-09-20,"New York, NY","We're a 50 something couple and very young at heart, even bohemian. I'm a biologist born in NYC with dual citizenship and a vagabond history. My husband is a French baker who loves NY. We are in Arcachon France when we're not in Brooklyn NY or somewhere else. We ride around France on a Harley Davidson or in our vintage camper. In the US we have a Brooklyn rowhouse and a tent. We are travelers and we welcome travelers to our home.",within a few hours,100%,80%,t,https://a0.muscache.com/im/pictures/user/5a57ede4-1907-46c6-97a0-9f7c6531fbaa.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5a57ede4-1907-46c6-97a0-9f7c6531fbaa.jpg?aki_policy=profile_x_medium,Greenwood Heights,3.0,3.0,"['email', 'phone']",t,t,Neighborhood highlights,Sunset Park,Brooklyn,40.66246,-73.9933,Entire home,Entire home/apt,1,,1 bath,,,"[""Outdoor furniture"", ""Essentials"", ""Clothing storage: closet, wardrobe, and dresser"", ""Free dryer \u2013 In building"", ""Cooking basics"", ""Private entrance"", ""BBQ grill"", ""Garden view"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Courtyard view"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Keypad"", ""Hangers"", ""Refrigerator"", ""Toaster"", ""Private patio or balcony"", ""Mosquito net"", ""Heating - split type ductless system"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""AC - split type ductless system"", ""Bed linens"", ""Microwave"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Conditioner"", ""Smoke alarm"", ""Body soap"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Drying rack for clothing"", ""Freezer"", ""Shower gel"", ""Coffee maker"", ""Extra pillows and blankets"", ""Cleaning products"", ""Long term stays allowed"", ""Free street parking"", ""Ceiling fan"", ""Shampoo"", ""Central heating""]",,30,500,30,30,500,500,30.0,500.0,,t,0,0,0,0,2025-06-18,42,1,0,0,2,60,,2021-05-01,2024-07-06,4.81,4.86,4.81,4.88,4.95,4.64,4.81,,f,3,3,0,0,0.83
2800,6006711,https://www.airbnb.com/rooms/6006711,20250617032754,2025-06-18,previous scrape,Awesome Place in the Heart of EV,"This is a great pad, with a ton of perks:<br /><br />* All the great restaurants of St Marks <br />* Walking distance to 6, L, N, R metro, Union Square, LES <br />* Private Balcony <br />* FAST wifi <br />* Standing desk with monitor <br />* Gym/laundry <br />* Projector <br />* Air purifier",,https://a0.muscache.com/pictures/74799914/68ad3e06_original.jpg,28429835,https://www.airbnb.com/users/show/28429835,Arpan,2015-02-26,"New York, NY",,,,,f,https://a0.muscache.com/im/users/28429835/profile_pic/1428982924/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/28429835/profile_pic/1428982924/original.jpg?aki_policy=profile_x_medium,East Village,1.0,1.0,"['email', 'phone']",t,t,,East Village,Manhattan,40.72896,-73.98725,Private room in rental unit,Private room,1,,1 bath,,,"[""Carbon monoxide alarm"", ""Dryer"", ""Washer"", ""Essentials"", ""Fire extinguisher"", ""First aid kit"", ""Kitchen"", ""Smoke alarm"", ""Elevator"", ""Gym"", ""Wifi"", ""Shampoo"", ""Heating"", ""Air conditioning""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-18,1,0,0,0,0,0,,2015-05-22,2015-05-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,0,1,0,0.01
3000,5931824,https://www.airbnb.com/rooms/5931824,20250617032754,2025-06-18,previous scrape,LARGE SUNNY QUIET NY APARTMENT,"1BR in large, quiet 2BR.  In Harlem off the ABCD line - quick and easy to get downtown.  Safe and quiet neighborhood in a nice and friendly building.  Roommate is respectful, clean, and easy to live with.  Huge bedroom with lots of natural light.",,https://a0.muscache.com/pictures/73869392/db06d9f0_original.jpg,23116198,https://www.airbnb.com/users/show/23116198,Sara Ashley,2014-10-29,"New York, NY",,,,,f,https://a0.muscache.com/im/users/23116198/profile_pic/1414607340/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/23116198/profile_pic/1414607340/original.jpg?aki_policy=profile_x_medium,Hamilton Heights,1.0,1.0,"['email', 'phone']",t,t,,Harlem,Manhattan,40.82896,-73.94059,Private room in rental unit,Private room,2,,1 bath,1.0,,"[""Dryer"", ""Washer"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""Elevator"", ""TV"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning""]",,30,1125,30,30,1125,1125,30.0,1125.0,,,0,0,0,0,2025-06-18,0,0,0,0,0,0,,,,,,,,,,,,f,1,0,1,0,
3200,6487196,https://www.airbnb.com/rooms/6487196,20250617032754,2025-06-18,previous scrape,Huge&Bright Room in Greenwich Vill.,"Located one block from Washington Square Park, this Greenwich Village apartment is central to all the best downtown neighborhoods. A 5-minute walk in any direction will lead you to Union Square, Noho, Soho, the East Village, and the West Village.","Our charming apartment is in the heart of Greenwich Village, just one block from Washington Square Park. On any given day in the park, you can catch a piano performance, book reading, street dancing show, or some other form of eccentric New York entertainment. Enjoy all the wonderful cafes, restaurants, and bars in the neighborhood (I can provide a great list).",https://a0.muscache.com/pictures/84339122/22ff285a_original.jpg,3263765,https://www.airbnb.com/users/show/3263765,Shef,2012-08-15,"New York, NY",,,,,f,https://a0.muscache.com/im/pictures/user/3a3a9320-2bcf-4517-9649-bf8f211d0855.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3a3a9320-2bcf-4517-9649-bf8f211d0855.jpg?aki_policy=profile_x_medium,Greenwich Village,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Greenwich Village,Manhattan,40.73133,-73.995,Private room in rental unit,Private room,1,,1 bath,,,"[""Dryer"", ""Washer"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""Elevator"", ""TV"", ""Wifi"", ""Heating"", ""Air conditioning""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-18,4,0,0,0,0,0,,2015-08-01,2015-11-02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,0,1,0,0.03
3400,6923000,https://www.airbnb.com/rooms/6923000,20250617032754,2025-06-18,previous scrape,Williamsburg Luxury Apartment,"This apartment is stunning. With wall to wall windows, and a small balcony with a Manhattan view, I feel so lucky to call this place my home. It has a full kitchen, with dishwasher, large bathroom, with bathtub, and a washer and dryer in the unit.","In the heart of Williamsburg, Brooklyn, this apartment is close to some of New York's most unique stores and restaurants. We love getting arepas at Caracas, or going to catch a movie at the Nighthawk cinema, where you can order dinner while you're watching the film!",https://a0.muscache.com/pictures/89810210/2fdeae3a_original.jpg,1164568,https://www.airbnb.com/users/show/1164568,Emilie,2011-09-15,"New York, NY","I'm born and raised in NYC! But I like to get out of the city once in a while to enjoy nature: biking, hiking, skiing, are some of my favorite activities. I am also a trained chef, so cooking is my passion. ",,,,f,https://a0.muscache.com/im/users/1164568/profile_pic/1316123866/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1164568/profile_pic/1316123866/original.jpg?aki_policy=profile_x_medium,Williamsburg,1.0,3.0,"['email', 'phone']",t,t,Neighborhood highlights,Williamsburg,Brooklyn,40.71003,-73.96004,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Carbon monoxide alarm"", ""Dryer"", ""Washer"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""Elevator"", ""Gym"", ""Wifi"", ""Shampoo"", ""Heating"", ""Air conditioning""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-18,3,0,0,0,0,0,,2015-08-18,2016-08-25,4.67,4.67,5.0,5.0,5.0,5.0,4.67,,f,1,1,0,0,0.03
3600,7265079,https://www.airbnb.com/rooms/7265079,20250617032754,2025-06-17,city scrape,Park Slope sweet cozy home! Wifi!,"Charming sunny room in a 1 B/R apt (queen size bed w flr mattress available), SHARED BATHROOM and a full kitchen to cook your gourmet meals in historic Park Slope corner Brownstone building. Convenient to restaurants and shops, Union gourmet mkt, Saturday green mkt, Prospect Park, zoo, Grand Army Plaza, botanical gardens, museums, Barclays Center, restaurants row on 5th Ave, subway 2/3 4/5 R, B/D trains. Happy to inform that I am also fully vaccinated for COVID-19 since March 2021.","Park Slope is a neighborhood in Brooklyn where I know my neighbors by first name, having lived and worked here for so long. You'll love it's historic beauty and liveliness. It's very safe, friendly and gorgeous.",https://a0.muscache.com/pictures/2e998533-df28-41ea-8095-e836f49f956b.jpg,912400,https://www.airbnb.com/users/show/912400,Nyet,2011-08-02,"New York, NY","People friendly, informative. Loves everything on earth n in heaven. Hobbies include bird watching, gardening, learning Spanish n among other things. Oh, love food n more food! Work hard by day n love to walk my dog Whiskey to relax. I totally love my guest to enjoy my room n feel right at home. Mi casa su casa! Life motto, very simple. Happy! n more happier!!",,,100%,t,https://a0.muscache.com/im/pictures/user/985e9119-080d-48d4-9d18-d0f46bcaf6c1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/985e9119-080d-48d4-9d18-d0f46bcaf6c1.jpg?aki_policy=profile_x_medium,Park Slope,1.0,1.0,"['email', 'phone']",t,f,Neighborhood highlights,Park Slope,Brooklyn,40.67382,-73.97757,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""Cooking basics"", ""TV with standard cable"", ""Dishes and silverware"", ""Hot water"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Microwave"", ""Bed linens"", ""Smoke alarm"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Free street parking"", ""Shampoo""]",$173.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,176,2025-06-17,233,17,0,10,26,255,44115.0,2015-08-29,2025-03-16,4.93,4.9,4.91,4.97,4.97,4.94,4.91,,t,1,0,1,0,1.95
3800,7700741,https://www.airbnb.com/rooms/7700741,20250617032754,2025-06-18,previous scrape,Spacious Private Room near train station :-)!,- Spacious furnished room<br />- Elevator<br />- Laundry in the building<br />- Private room. The room has a key so you can lock it if you want to<br />- Very well connected to the subway: A/B/C/D and #1 and #2 which all take you to the midtown in only 15 minutes!,,https://a0.muscache.com/pictures/97864088/397115e4_original.jpg,3284564,https://www.airbnb.com/users/show/3284564,Mahrokh,2012-08-16,"New York, NY","I am very easy-going, organized, world traveler, and love meeting new people.",,,,f,https://a0.muscache.com/im/users/3284564/profile_pic/1345224913/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3284564/profile_pic/1345224913/original.jpg?aki_policy=profile_x_medium,Harlem,1.0,1.0,"['email', 'phone', 'work_email']",t,t,,Harlem,Manhattan,40.81484,-73.95065,Private room in rental unit,Private room,2,,1 bath,,,"[""Kitchen"", ""Hangers"", ""Smoke alarm"", ""Elevator"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Air conditioning"", ""Heating""]",,30,31,30,30,31,31,30.0,31.0,,t,0,0,0,0,2025-06-18,1,0,0,0,0,0,,2015-09-22,2015-09-22,5.0,5.0,3.0,4.0,5.0,4.0,4.0,,f,1,0,1,0,0.01
4000,8071687,https://www.airbnb.com/rooms/8071687,20250617032754,2025-06-17,city scrape,Historic Townhouse Apartment,"An English basement with views of a garden and a quiet, tree-lined street - ranked by Time Out NY as 1 of the 10 best residential blocks in NYC.  Near SoHo, Greenwich Village, Chinatown and Little Italy.  Within a block of 3 buses and 3 subway lines.","Just across 6th Avenue from SoHo, the apartment is in the Hudson Square neighborhood, centrally located, with Greenwich Village, The West Village, Little Italy, Chinatown, TriBeCa and the Hudson River a short walk away.",https://a0.muscache.com/pictures/e633a459-e4d0-4ce3-a1d7-12d82718f946.jpg,36481078,https://www.airbnb.com/users/show/36481078,Timur,2015-06-22,"New York, NY",We are,,,100%,f,https://a0.muscache.com/im/pictures/user/e1983ee1-9f8f-4033-9443-cb5d6a741c76.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e1983ee1-9f8f-4033-9443-cb5d6a741c76.jpg?aki_policy=profile_x_medium,Hudson Square,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,SoHo,Manhattan,40.72599,-74.0053,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Essentials"", ""Cooking basics"", ""Private entrance"", ""Indoor fireplace: wood-burning"", ""Blender"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""40 inch HDTV with HBO Max, standard cable"", ""Hot water"", ""Radiant heating"", ""Stainless steel oven"", ""Portable fans"", ""Dining table"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Hot water kettle"", ""Toaster"", ""Wine glasses"", ""Single level home"", ""Fire extinguisher"", ""Books and reading material"", ""Children\u2019s dinnerware"", ""Microwave"", ""Bed linens"", ""Baking sheet"", ""First aid kit"", ""Conditioner"", ""Smoke alarm"", ""Body soap"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Gas stove"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Freezer"", ""Fireplace guards"", ""Dishwasher"", ""Coffee maker"", ""Board games"", ""Extra pillows and blankets"", ""Cleaning products"", ""Long term stays allowed"", ""Coffee"", ""Ceiling fan"", ""Shampoo"", ""Lockbox""]",$298.00,30,90,30,30,90,90,30.0,90.0,,t,16,28,58,323,2025-06-17,196,1,0,156,1,60,17880.0,2015-09-22,2024-12-06,4.93,4.94,4.94,4.98,4.97,4.99,4.73,,f,1,1,0,0,1.65
4200,8667280,https://www.airbnb.com/rooms/8667280,20250617032754,2025-06-17,city scrape,Private 2 Bedrooms & Patio near subway,"Perfect for a couple, co-workers, friends or relatives.<br />2 BRs & plus living room, eat in kitchen & private patio.<br />* Garden floor entrance.<br />* Quiet Master suite w/ patio in rear.  Street noise front.<br />* Hip young neighborhood.<br />* Within one block breakfast places, supermarket, wine shop & restaurants (5th Ave)<br />* Prospect Ave Stop R local train across the street newly renovated.   <br />F & G Train stop 8 mins walk. <br />* 20 mins to lower Manhattan.","* Park Slope South is the trendy young & hip part of the Slope.  Demographic is young hipsters who are gainfully employed because the rents are high & they have an active night life which makes the area very safe because young people are out & about all hours.<br />* Barclays Center is 3 short subway stops or a 5min cab ride.  Prospect Park & Greenwood Cemetery are a few blocks away.<br />* 5th Ave, one block away is peppered with great restaurants, fun bars & unique boutiques.  <br />* Side Car - great cocktails & Southern food open 'till wee hours.  Happy Hour oysters on Tues. Night & Friday from 3-6pm.  Favorite hang out of the ""Correspondents"" on the Daily Show w/ Jon Stewart.<br />* Bar Toto - our Mayors favorite restaurant when he lived nearby - you still may find him there at Lunch time.  Northern Italian & kid friendly.<br />* Korzo - Hungarian fair bit also amazing foody Burgers.<br />* Black Horse - British/Mexican sports bar & restaurant.  Open day to late night.<br />* Sout",https://a0.muscache.com/pictures/miso/Hosting-8667280/original/7609210b-c999-4fb8-a5a9-dd045b556b99.jpeg,31876150,https://www.airbnb.com/users/show/31876150,Rose-Marie,2015-04-24,"New York, United States",,within a few hours,100%,0%,f,https://a0.muscache.com/im/users/31876150/profile_pic/1443807996/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/31876150/profile_pic/1443807996/original.jpg?aki_policy=profile_x_medium,Greenwood Heights,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Gowanus,Brooklyn,40.66639,-73.99307,Entire townhouse,Entire home/apt,2,1.0,1 bath,2.0,2.0,"[""Outdoor furniture"", ""Dedicated workspace"", ""Essentials"", ""Children\u2019s books and toys"", ""Clothing storage: closet, wardrobe, and dresser"", ""Cooking basics"", ""TV with standard cable"", ""Private entrance"", ""Blender"", ""BBQ grill"", ""Garden view"", ""Dishes and silverware"", ""Hot water"", ""Portable fans"", ""Dining table"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Window guards"", ""Refrigerator"", ""Hot water kettle"", ""Toaster"", ""Crib - always at the listing"", ""Private patio or balcony"", ""Fire pit"", ""Wine glasses"", ""Single level home"", ""Fire extinguisher"", ""Babysitter recommendations"", ""Electric stove"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Pets allowed"", ""Private backyard \u2013 Fully fenced"", ""Baking sheet"", ""Cleaning available during stay"", ""Outdoor dining area"", ""Smoke alarm"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Large capacity table top stainless steel single oven"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Smoking allowed"", ""Freezer"", ""Air conditioning"", ""Heating"", ""Barbecue utensils"", ""Coffee maker"", ""Rice maker"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Cleaning products"", ""Long term stays allowed"", ""Coffee"", ""Free street parking"", ""Shampoo"", ""Laundromat nearby"", ""Host greets you""]",$180.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,29,59,89,179,2025-06-17,148,0,0,179,0,0,0.0,2015-10-19,2023-09-01,4.93,4.91,4.95,4.96,4.98,4.82,4.89,,f,1,1,0,0,1.26
4400,8884004,https://www.airbnb.com/rooms/8884004,20250617032754,2025-06-18,previous scrape,Sunny room  with private access to the patio,"Cozy bedroom with private access to the patio. The apartment has high ceilings, big windows and tons of plants. Lots of restaurants and cafes near by and a bar across the street. We have two cats.",,https://a0.muscache.com/pictures/27c9c180-44d3-4bf3-9f44-11ff1b958ddf.jpg,23788168,https://www.airbnb.com/users/show/23788168,Jonathan,2014-11-15,"New York, NY",Artist living and working in NY.,,,,f,https://a0.muscache.com/im/pictures/user/0438a666-8a8b-4e35-a11b-1a5da267028c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0438a666-8a8b-4e35-a11b-1a5da267028c.jpg?aki_policy=profile_x_medium,Bedford-Stuyvesant,2.0,3.0,"['email', 'phone']",t,t,,Bedford-Stuyvesant,Brooklyn,40.68308,-73.93906,Private room in rental unit,Private room,1,,1 bath,,,"[""Washer"", ""Essentials"", ""Lock on bedroom door"", ""Kitchen"", ""Hangers"", ""Smoke alarm"", ""Dishes and silverware"", ""TV"", ""Wifi"", ""Hot water"", ""Backyard"", ""Heating""]",,30,31,30,30,31,31,30.0,31.0,,t,0,0,0,0,2025-06-18,3,0,0,0,0,0,,2019-10-10,2020-03-09,4.67,4.67,4.67,4.67,5.0,4.67,5.0,,f,2,0,2,0,0.04
